所属板块,代码,名称,总分,现价,涨跌幅%,主力净流入亿,主力净占比%,换手%,PE_TTM,PB,总市值亿,市值板块排名,fin_roe,fin_gross_margin,fin_revenue,fin_rev_yoy,fin_netprofit,fin_np_yoy,fin_ocfps,fin_debt_ratio,fin_div_yield,fin_div_plan,评分明细
印制电路板,002463,沪电股份,73.5,127.87,2.38,2.712,6.02,1.82,48.6,13.68,2460.68365476,4,17.38,38.7155693432,13689427504.0,61.1682833526,2923361746.0,73.72,0.597956762782,52.1989540214,,不分配不转增,"{'矛_盈利': 35, '盾_健康': 18, '股东回报': 3, '估值': 7, '资金共振': 10.5}"
印制电路板,001389,广合科技,72.3,172.84,2.16,0.733,10.67,2.6,55.21,10.3,817.05592654,10,16.05,39.2728845228,4388260234.74,80.9775863738,955588247.43,94.39,1.982552566805,38.6043841156,,不分配不转增,"{'矛_盈利': 35, '盾_健康': 19, '股东回报': 3, '估值': 5, '资金共振': 10.3}"
印制电路板,300476,胜宏科技,67.7,232.8,1.65,5.591,11.94,2.3,45.52,6.04,2287.92304466,5,11.8,33.221347957,11629367290.81,28.773550864,2856778938.24,33.3,2.962169586355,39.8544817702,,不分配不转增,"{'矛_盈利': 27, '盾_健康': 20, '股东回报': 3, '估值': 6, '资金共振': 11.7}"
印制电路板,600183,生益科技,65.9,148.76,1.7,6.164,9.73,1.76,69.56,19.53,3613.38585949,1,18.17,30.6922750301,19025611766.13,50.0454791459,3286977278.33,130.42,1.228101686219,50.328525573,,不分配不转增,"{'矛_盈利': 29, '盾_健康': 18, '股东回报': 3, '估值': 5, '资金共振': 10.9}"
印制电路板,001232,嘉立创,64.6,163.41,0.82,0.142,3.82,5.07,52.09,7.16,907.840596,9,13.37,28.4073364889,7172851108.95,54.1252523113,1030348906.94,73.54,2.53020248774,36.5359290154,0.308489634748,10派5.00元(含税),"{'矛_盈利': 29, '盾_健康': 19, '股东回报': 5, '估值': 6, '资金共振': 5.6}"
印制电路板,688183,生益电子,63.9,128.65,1.66,0.928,5.98,1.43,52.48,16.55,1077.56112254,8,17.95,34.3088361251,5783539107.99,53.4617074251,1110707603.86,109.36,1.095336333284,53.7607146947,,不分配不转增,"{'矛_盈利': 29, '盾_健康': 17, '股东回报': 3, '估值': 5, '资金共振': 9.9}"
印制电路板,002636,金安国纪,61.1,69.94,1.89,1.384,5.53,4.92,51.11,11.88,509.1632,15,19.39,33.1371312595,3398506484.53,65.7430637284,765886985.22,986.66,0.493405911374,47.3778922946,,不分配不转增,"{'矛_盈利': 29, '盾_健康': 14, '股东回报': 3, '估值': 5, '资金共振': 10.1}"
印制电路板,603459,红板科技,56.9,87.88,0.57,0.226,4.17,7.74,78.95,14.75,662.39865313,13,17.21,24.4454113271,2094098028.42,22.4605744523,539036712.5,124.74,0.263424249836,42.79500262,,不分配不转增,"{'矛_盈利': 29, '盾_健康': 14, '股东回报': 3, '估值': 5, '资金共振': 5.9}"
印制电路板,002916,深南电路,54.8,383.8,0.34,0.563,3.01,0.73,62.74,14.5,2614.31739161,3,12.43,31.0149106719,15296361440.43,46.3282888807,2251458836.99,65.55,2.204829037689,55.6651163417,,不分配不转增,"{'矛_盈利': 25, '盾_健康': 15, '股东回报': 3, '估值': 5, '资金共振': 6.8}"
印制电路板,603186,华正新材,48.6,207.82,7.8,3.941,11.74,10.48,80.06,13.23,325.84205451,18,7.86,15.9287171721,2959904829.48,41.2788891917,172929981.95,305.28,2.404297115722,65.0928973011,,不分配不转增,"{'矛_盈利': 17, '盾_健康': 14, '股东回报': 3, '估值': 5, '资金共振': 9.6}"
