所属板块,代码,名称,总分,治理评级,治理标签,现价,涨跌幅%,主力净流入亿,主力净占比%,换手%,PE_TTM,PB,总市值亿,市值板块排名,fin_roe,fin_gross_margin,fin_revenue,fin_rev_yoy,fin_netprofit,fin_np_yoy,fin_ocfps,fin_debt_ratio,fin_div_yield,fin_div_plan,分红,评分明细
医疗研发外包,688796,百奥赛图,61.4,绿,无质押,123.3,2.41,0.09,2.8,6.69,150.43,22.75,551.02575186,4,10.49,79.2966453083,941388593.84,51.6013388674,241094391.65,402.29,0.585278608034,33.3934502887,,不分配不转增,,"{'矛_盈利': 29, '盾_健康': 18, '股东回报': 3, '估值': 5, '资金共振': 6.4, '治理面调整': 0}"
医药生物,688331,荣昌生物,80.4,绿,无质押、近一年有回购,117.94,2.81,0.293,4.47,1.58,11.44,8.01,665.74474345,4,78.38,95.7129613996,5853293736.77,433.1094682648,4662283356.3,1137.0570147088,7.464997392075,15.5695735468,,不分配不转增,,"{'矛_盈利': 36, '盾_健康': 19, '股东回报': 3, '估值': 12, '资金共振': 7.4, '治理面调整': 3}"
医药生物,000423,东阿阿胶,66.0,绿,无质押、近一年有回购,46.47,1.37,0.253,10.39,0.83,16.66,3.2,297.32752511,17,8.12,74.8225662617,3155143496.5,3.3936375551,860377588.81,5.66,0.127483336944,19.4912045837,2.737807410423,"10派13.44811元(含税,扣税后12.103299元)","{'分红年数': 27, '累计每10股派现': 192.2}","{'矛_盈利': 22, '盾_健康': 16, '股东回报': 10, '估值': 9, '资金共振': 6, '治理面调整': 3}"
医药生物,000963,华东医药,62.0,黄,质押8%低、近半年多笔零星减持,26.46,0.76,0.141,6.89,0.44,13.41,1.87,464.03876998,10,7.31,32.7993291744,22066646185.69,1.8072364671,1860757262.42,2.53,1.425196450357,35.5100682884,1.322751322751,"10派3.50元(含税,扣税后3.15元)","{'分红年数': 22, '累计每10股派现': 106.35}","{'矛_盈利': 16, '盾_健康': 20, '股东回报': 10, '估值': 12, '资金共振': 5, '治理面调整': -1}"
医药生物,300453,三鑫医疗,61.0,红,无质押、近一年有回购、近半年股东累计减持3.0%,9.28,1.87,0.058,10.22,1.68,17.18,3.24,48.44942072,82,8.65,36.3482615826,836722599.37,9.9781593786,132115861.37,14.77,0.297834751487,36.4327804525,1.077586206897,10派1.00元(含税),"{'分红年数': 11, '累计每10股派现': 18.5}","{'矛_盈利': 22, '盾_健康': 15, '股东回报': 10, '估值': 11, '资金共振': 6, '治理面调整': -3}"
医药生物,688796,百奥赛图,59.6,绿,无质押,123.3,2.41,0.09,2.8,6.69,150.43,22.75,551.02575186,8,10.49,79.2966453083,941388593.84,51.6013388674,241094391.65,402.29,0.585278608034,33.3934502887,,不分配不转增,,"{'矛_盈利': 29, '盾_健康': 18, '股东回报': 3, '估值': 5, '资金共振': 4.6, '治理面调整': 0}"
医药生物,301087,可孚医疗,58.0,黄,质押4%低、近一年有回购、近半年小幅减持1.0%,53.31,1.02,0.286,13.92,2.0,30.94,2.28,125.7566907,39,4.0,55.8878631902,2071847991.36,38.5143639768,202263774.19,20.84,1.112397850291,25.4072706138,1.125492402926,10派6.00元(含税),"{'分红年数': 5, '累计每10股派现': 76.0}","{'矛_盈利': 16, '盾_健康': 17, '股东回报': 10, '估值': 8, '资金共振': 6, '治理面调整': 1}"
医药生物,300562,乐心股份,54.0,黄,质押11%低、近一年有回购、近半年多笔零星减持,17.67,12.48,0.375,7.73,17.09,38.78,3.44,38.68390402,93,5.54,36.3028502944,534432244.98,2.5063945595,60037109.36,41.96,0.28147234712,25.8697851175,0.73571024335,10派1.30元(含税),"{'分红年数': 10, '累计每10股派现': 11.77}","{'矛_盈利': 16, '盾_健康': 15, '股东回报': 8, '估值': 10, '资金共振': 3, '治理面调整': 2}"
医药生物,600196,复星医药,48.0,黄,质押33%、近一年有回购、近半年小幅减持2.0%,21.95,1.62,0.152,5.17,0.64,17.29,1.2,586.15923684,7,3.53,49.6712480958,20441970386.0,4.7530901415,1721467719.58,1.15,0.907701391678,49.4515005042,,不分配不转增,"{'分红年数': 26, '累计每10股派现': 66.9}","{'矛_盈利': 13, '盾_健康': 16, '股东回报': 6, '估值': 10, '资金共振': 5, '治理面调整': -2}"
医药生物,688758,赛分科技,45.0,红,无质押、近一年有回购、近半年股东累计减持3.2%,28.56,6.53,0.105,4.53,2.76,64.81,8.57,118.94214239,41,7.97,75.3193909379,279738112.89,53.1696185826,110638217.52,106.19,0.207217372891,11.8155485123,,不分配不转增,"{'分红年数': 2, '累计每10股派现': 1.37}","{'矛_盈利': 23, '盾_健康': 15, '股东回报': 4, '估值': 5, '资金共振': 1, '治理面调整': -3}"
